source,datetime
plpxy,2025-02-11 17
bordpxy,2025-02-28 12
bordpxy,2025-02-28 13
bordpxy,2025-02-28 14
bordpxy,2025-03-02 15
bordpxy,2025-03-03 13
bordpxy,2025-03-03 17
plpxy,2025-03-03 17
plpxy,2025-03-03 18
bordpxy,2025-03-03 18
bordpxy,2025-03-04 11
bordpxy,2025-03-04 12
bordpxy,2025-03-04 13
bordpxy,2025-03-04 17
plpxy,2025-03-04 17
plpxy,2025-03-04 18
bordpxy,2025-03-04 18
bordpxy,2025-03-05 12
bordpxy,2025-03-06 11
bordpxy,2025-03-06 17
plpxy,2025-03-06 17
plpxy,2025-03-06 18
bordpxy,2025-03-06 18
vlpxy,2025-03-07 11
bordpxy,2025-03-07 11
bordpxy,2025-03-07 13
bordpxy,2025-03-08 14
